horizon,secid,feature,importance
1,IMOEX,return_1d,0.0
1,IMOEX,return_5d,0.0
1,IMOEX,return_20d,0.0
1,IMOEX,range_pct,1.0
1,IMOEX,gap_pct,0.0
1,IMOEX,intraday_return,0.0
1,IMOEX,ma_5_gap,0.0
1,IMOEX,ma_20_gap,0.0
1,IMOEX,ma_50_gap,0.0
1,IMOEX,rolling_vol_20d,0.0
1,IMOEX,rsi_14,0.0
1,IMOEX,position_20d,0.0
1,IMOEX,value_change_1d,0.0
1,RTSI,return_1d,0.0279732301044215
1,RTSI,return_5d,0.019736835036803773
1,RTSI,return_20d,0.025338787017309752
1,RTSI,range_pct,0.15613910117357352
1,RTSI,gap_pct,0.0
1,RTSI,intraday_return,0.03276400568575563
1,RTSI,ma_5_gap,0.00512061817013646
1,RTSI,ma_20_gap,0.06524866585656466
1,RTSI,ma_50_gap,0.004128941592076042
1,RTSI,rolling_vol_20d,0.020838101009189394
1,RTSI,rsi_14,0.17608007331745362
1,RTSI,position_20d,0.4653122706815063
1,RTSI,value_change_1d,0.0013193703552093104
5,IMOEX,return_1d,0.002232922067636624
5,IMOEX,return_5d,0.006597269745290028
5,IMOEX,return_20d,0.00598367752422459
5,IMOEX,range_pct,0.0
5,IMOEX,gap_pct,0.0
5,IMOEX,intraday_return,0.007503048738291384
5,IMOEX,ma_5_gap,0.0157903882854634
5,IMOEX,ma_20_gap,0.05019461176836048
5,IMOEX,ma_50_gap,0.12810852124274724
5,IMOEX,rolling_vol_20d,0.699691973629375
5,IMOEX,rsi_14,0.009337674101025886
5,IMOEX,position_20d,0.0719486858515476
5,IMOEX,value_change_1d,0.0026112270460378704
5,RTSI,return_1d,0.004756874886177381
5,RTSI,return_5d,0.007316700054634857
5,RTSI,return_20d,0.017171371334911673
5,RTSI,range_pct,0.0006818430158441086
5,RTSI,gap_pct,0.003324713167000546
5,RTSI,intraday_return,0.0009382626115461665
5,RTSI,ma_5_gap,0.012434893462028774
5,RTSI,ma_20_gap,0.013724276088144239
5,RTSI,ma_50_gap,0.20357821890366054
5,RTSI,rolling_vol_20d,0.5416878528501183
5,RTSI,rsi_14,0.181926789291568
5,RTSI,position_20d,0.012458204334365326
5,RTSI,value_change_1d,0.0
