horizon,secid,param_id,fold_id,train_rows,validation_rows,validation_first_date,validation_last_date,max_depth,min_samples_leaf,max_thresholds,normalize_etc,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,true_positive_share,predicted_positive_share,tp,tn,fp,fn
1,IMOEX,0,0,999.0,251.0,2019-03-04,2020-03-02,1,10,8,False,0.5298804780876494,0.5443537943537944,0.6237623762376238,0.4405594405594406,0.5163934426229508,0.5697211155378487,0.40239043824701193,63.0,70.0,38.0,80.0
1,IMOEX,0,1,1503.0,251.0,2021-03-05,2022-03-25,1,10,8,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,0,2,2007.0,193.0,2023-03-29,2023-12-27,1,10,8,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,0,mean,,,,,1,10,8,False,0.5619662971602364,0.5147845981179314,,,,,,,,,
1,IMOEX,1,0,999.0,251.0,2019-03-04,2020-03-02,1,10,16,False,0.44223107569721115,0.44703444703444706,0.5130434782608696,0.4125874125874126,0.45736434108527135,0.5697211155378487,0.4581673306772908,59.0,52.0,56.0,84.0
1,IMOEX,1,1,1503.0,251.0,2021-03-05,2022-03-25,1,10,16,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,1,2,2007.0,193.0,2023-03-29,2023-12-27,1,10,16,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,1,mean,,,,,1,10,16,False,0.532749829696757,0.4823448156781491,,,,,,,,,
1,IMOEX,2,0,999.0,251.0,2019-03-04,2020-03-02,1,20,8,False,0.5298804780876494,0.5443537943537944,0.6237623762376238,0.4405594405594406,0.5163934426229508,0.5697211155378487,0.40239043824701193,63.0,70.0,38.0,80.0
1,IMOEX,2,1,1503.0,251.0,2021-03-05,2022-03-25,1,20,8,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,2,2,2007.0,193.0,2023-03-29,2023-12-27,1,20,8,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,2,mean,,,,,1,20,8,False,0.5619662971602364,0.5147845981179314,,,,,,,,,
1,IMOEX,3,0,999.0,251.0,2019-03-04,2020-03-02,1,20,16,False,0.44223107569721115,0.44703444703444706,0.5130434782608696,0.4125874125874126,0.45736434108527135,0.5697211155378487,0.4581673306772908,59.0,52.0,56.0,84.0
1,IMOEX,3,1,1503.0,251.0,2021-03-05,2022-03-25,1,20,16,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,3,2,2007.0,193.0,2023-03-29,2023-12-27,1,20,16,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,3,mean,,,,,1,20,16,False,0.532749829696757,0.4823448156781491,,,,,,,,,
1,IMOEX,4,0,999.0,251.0,2019-03-04,2020-03-02,1,50,8,False,0.5298804780876494,0.5443537943537944,0.6237623762376238,0.4405594405594406,0.5163934426229508,0.5697211155378487,0.40239043824701193,63.0,70.0,38.0,80.0
1,IMOEX,4,1,1503.0,251.0,2021-03-05,2022-03-25,1,50,8,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,4,2,2007.0,193.0,2023-03-29,2023-12-27,1,50,8,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,4,mean,,,,,1,50,8,False,0.5619662971602364,0.5147845981179314,,,,,,,,,
1,IMOEX,5,0,999.0,251.0,2019-03-04,2020-03-02,1,50,16,False,0.44223107569721115,0.44703444703444706,0.5130434782608696,0.4125874125874126,0.45736434108527135,0.5697211155378487,0.4581673306772908,59.0,52.0,56.0,84.0
1,IMOEX,5,1,1503.0,251.0,2021-03-05,2022-03-25,1,50,16,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,5,2,2007.0,193.0,2023-03-29,2023-12-27,1,50,16,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,5,mean,,,,,1,50,16,False,0.532749829696757,0.4823448156781491,,,,,,,,,
1,IMOEX,6,0,999.0,251.0,2019-03-04,2020-03-02,1,100,8,False,0.5298804780876494,0.5443537943537944,0.6237623762376238,0.4405594405594406,0.5163934426229508,0.5697211155378487,0.40239043824701193,63.0,70.0,38.0,80.0
1,IMOEX,6,1,1503.0,251.0,2021-03-05,2022-03-25,1,100,8,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,6,2,2007.0,193.0,2023-03-29,2023-12-27,1,100,8,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,6,mean,,,,,1,100,8,False,0.5619662971602364,0.5147845981179314,,,,,,,,,
1,IMOEX,7,0,999.0,251.0,2019-03-04,2020-03-02,1,100,16,False,0.44223107569721115,0.44703444703444706,0.5130434782608696,0.4125874125874126,0.45736434108527135,0.5697211155378487,0.4581673306772908,59.0,52.0,56.0,84.0
1,IMOEX,7,1,1503.0,251.0,2021-03-05,2022-03-25,1,100,16,False,0.549800796812749,0.5,0.549800796812749,1.0,0.7095115681233933,0.549800796812749,1.0,138.0,0.0,113.0,0.0
1,IMOEX,7,2,2007.0,193.0,2023-03-29,2023-12-27,1,100,16,False,0.6062176165803109,0.5,0.6062176165803109,1.0,0.7548387096774194,0.6062176165803109,1.0,117.0,0.0,76.0,0.0
1,IMOEX,7,mean,,,,,1,100,16,False,0.532749829696757,0.4823448156781491,,,,,,,,,
1,IMOEX,8,0,999.0,251.0,2019-03-04,2020-03-02,2,10,8,False,0.549800796812749,0.5097125097125097,0.5757575757575758,0.7972027972027972,0.6686217008797655,0.5697211155378487,0.7888446215139442,114.0,24.0,84.0,29.0
1,IMOEX,8,1,1503.0,251.0,2021-03-05,2022-03-25,2,10,8,False,0.5298804780876494,0.5123444914710786,0.5588235294117647,0.6884057971014492,0.6168831168831168,0.549800796812749,0.6772908366533864,95.0,38.0,75.0,43.0
1,IMOEX,8,2,2007.0,193.0,2023-03-29,2023-12-27,2,10,8,False,0.5077720207253886,0.46260683760683763,0.5808823529411765,0.6752136752136753,0.624505928853755,0.6062176165803109,0.7046632124352331,79.0,19.0,57.0,38.0
1,IMOEX,8,mean,,,,,2,10,8,False,0.529151098541929,0.49488794626347526,,,,,,,,,
1,IMOEX,9,0,999.0,251.0,2019-03-04,2020-03-02,2,10,16,False,0.5378486055776892,0.489024864024864,0.5633802816901409,0.8391608391608392,0.6741573033707865,0.5697211155378487,0.848605577689243,120.0,15.0,93.0,23.0
1,IMOEX,9,1,1503.0,251.0,2021-03-05,2022-03-25,2,10,16,False,0.5657370517928287,0.532127741439015,0.5687203791469194,0.8695652173913043,0.6876790830945558,0.549800796812749,0.8406374501992032,120.0,22.0,91.0,18.0
1,IMOEX,9,2,2007.0,193.0,2023-03-29,2023-12-27,2,10,16,False,0.533678756476684,0.47705802968960864,0.5918367346938775,0.7435897435897436,0.6590909090909091,0.6062176165803109,0.7616580310880829,87.0,16.0,60.0,30.0
1,IMOEX,9,mean,,,,,2,10,16,False,0.545754804615734,0.49940354505116247,,,,,,,,,
1,IMOEX,10,0,999.0,251.0,2019-03-04,2020-03-02,2,20,8,False,0.549800796812749,0.5097125097125097,0.5757575757575758,0.7972027972027972,0.6686217008797655,0.5697211155378487,0.7888446215139442,114.0,24.0,84.0,29.0
