horizon,split,secid,rows,first_date,last_date,first_future_date,last_future_date,positive_share
1,train,IMOEX,1715,2015-03-18,2021-12-29,2015-03-19,2021-12-30,0.5294460641399417
1,train,RTSI,1715,2015-03-18,2021-12-29,2015-03-19,2021-12-30,0.5364431486880467
1,validation,IMOEX,486,2022-01-03,2023-12-28,2022-01-04,2023-12-29,0.5370370370370371
1,validation,RTSI,487,2022-01-03,2023-12-28,2022-01-04,2023-12-29,0.5277207392197125
1,train_validation,IMOEX,2202,2015-03-18,2023-12-28,2015-03-19,2023-12-29,0.5313351498637602
1,train_validation,RTSI,2203,2015-03-18,2023-12-28,2015-03-19,2023-12-29,0.5347253744893328
1,test,IMOEX,609,2024-01-03,2026-05-26,2024-01-04,2026-05-27,0.5123152709359606
1,test,RTSI,609,2024-01-03,2026-05-26,2024-01-04,2026-05-27,0.5188834154351396
5,train,IMOEX,1711,2015-03-18,2021-12-23,2015-03-25,2021-12-30,0.5511396843950906
5,train,RTSI,1711,2015-03-18,2021-12-23,2015-03-25,2021-12-30,0.5406195207481005
5,validation,IMOEX,482,2022-01-03,2023-12-22,2022-01-10,2023-12-29,0.5995850622406639
5,validation,RTSI,483,2022-01-03,2023-12-22,2022-01-11,2023-12-29,0.5403726708074534
5,train_validation,IMOEX,2198,2015-03-18,2023-12-22,2015-03-25,2023-12-29,0.5623293903548681
5,train_validation,RTSI,2199,2015-03-18,2023-12-22,2015-03-25,2023-12-29,0.5402455661664393
5,test,IMOEX,605,2024-01-03,2026-05-20,2024-01-10,2026-05-27,0.4859504132231405
5,test,RTSI,605,2024-01-03,2026-05-20,2024-01-10,2026-05-27,0.4975206611570248
