horizon,secid,feature,importance
1,IMOEX,return_1d,0.043831899762153625
1,IMOEX,return_2d,0.055361684411764145
1,IMOEX,return_5d,0.05975058302283287
1,IMOEX,return_10d,0.04114219918847084
1,IMOEX,return_20d,0.0475386381149292
1,IMOEX,log_return_1d,0.01812036894261837
1,IMOEX,range_pct,0.062332093715667725
1,IMOEX,gap_pct,0.05553305894136429
1,IMOEX,intraday_return,0.034305255860090256
1,IMOEX,body_pct,0.02858361415565014
1,IMOEX,high_close_gap,0.09045132249593735
1,IMOEX,close_low_gap,0.03994809463620186
1,IMOEX,ma_5_gap,0.05711010843515396
1,IMOEX,ma_10_gap,0.08327285200357437
1,IMOEX,ma_20_gap,0.026968887075781822
1,IMOEX,ma_50_gap,0.06485290825366974
1,IMOEX,rolling_vol_5d,0.025655126199126244
1,IMOEX,rolling_vol_10d,0.025622060522437096
1,IMOEX,rolling_vol_20d,0.014015241526067257
1,IMOEX,rsi_14,0.014761575497686863
1,IMOEX,position_20d,0.018419407308101654
1,IMOEX,drawdown_20d,0.06310626119375229
1,IMOEX,value_change_1d,0.029316691681742668
1,RTSI,return_1d,0.05681624636054039
1,RTSI,return_2d,0.041027218103408813
1,RTSI,return_5d,0.058150604367256165
1,RTSI,return_10d,0.04496710002422333
1,RTSI,return_20d,0.05196882411837578
1,RTSI,log_return_1d,0.049188390374183655
1,RTSI,range_pct,0.056099433451890945
1,RTSI,gap_pct,0.04366437345743179
1,RTSI,intraday_return,0.03904925286769867
1,RTSI,body_pct,0.041039951145648956
1,RTSI,high_close_gap,0.03608004376292229
1,RTSI,close_low_gap,0.02689172327518463
1,RTSI,ma_5_gap,0.025573117658495903
1,RTSI,ma_10_gap,0.07226398587226868
1,RTSI,ma_20_gap,0.031699035316705704
1,RTSI,ma_50_gap,0.043064314872026443
1,RTSI,rolling_vol_5d,0.03568865731358528
1,RTSI,rolling_vol_10d,0.038454052060842514
1,RTSI,rolling_vol_20d,0.020324045792222023
1,RTSI,rsi_14,0.03488675504922867
1,RTSI,position_20d,0.05360104516148567
1,RTSI,drawdown_20d,0.0733722373843193
1,RTSI,value_change_1d,0.026129646226763725
5,IMOEX,return_1d,0.03500976786017418
5,IMOEX,return_2d,0.03984452411532402
5,IMOEX,return_5d,0.062371302396059036
5,IMOEX,return_10d,0.05238658934831619
5,IMOEX,return_20d,0.031346991658210754
5,IMOEX,log_return_1d,0.030933260917663574
5,IMOEX,range_pct,0.03998834267258644
5,IMOEX,gap_pct,0.03570758178830147
5,IMOEX,intraday_return,0.037302929908037186
5,IMOEX,body_pct,0.1275632083415985
5,IMOEX,high_close_gap,0.016234898939728737
5,IMOEX,close_low_gap,0.011499142274260521
5,IMOEX,ma_5_gap,0.04695297032594681
5,IMOEX,ma_10_gap,0.06693866848945618
5,IMOEX,ma_20_gap,0.04727713018655777
5,IMOEX,ma_50_gap,0.05123171582818031
5,IMOEX,rolling_vol_5d,0.06278852373361588
5,IMOEX,rolling_vol_10d,0.040449194610118866
5,IMOEX,rolling_vol_20d,0.04332266375422478
5,IMOEX,rsi_14,0.01409552339464426
5,IMOEX,position_20d,0.031154094263911247
5,IMOEX,drawdown_20d,0.04520995542407036
5,IMOEX,value_change_1d,0.03039107285439968
5,RTSI,return_1d,0.01793520711362362
5,RTSI,return_2d,0.06444056332111359
5,RTSI,return_5d,0.0339612253010273
5,RTSI,return_10d,0.027068590745329857
5,RTSI,return_20d,0.05424501374363899
5,RTSI,log_return_1d,0.0
5,RTSI,range_pct,0.05269389599561691
5,RTSI,gap_pct,0.0469508022069931
5,RTSI,intraday_return,0.043409742414951324
5,RTSI,body_pct,0.04259871318936348
5,RTSI,high_close_gap,0.04674648866057396
5,RTSI,close_low_gap,0.06782472133636475
5,RTSI,ma_5_gap,0.04264957085251808
5,RTSI,ma_10_gap,0.01979372650384903
5,RTSI,ma_20_gap,0.0390704870223999
5,RTSI,ma_50_gap,0.06789965182542801
5,RTSI,rolling_vol_5d,0.0656021386384964
5,RTSI,rolling_vol_10d,0.06141231581568718
5,RTSI,rolling_vol_20d,0.03999873250722885
5,RTSI,rsi_14,0.04436035454273224
5,RTSI,position_20d,0.0
5,RTSI,drawdown_20d,0.08924351632595062
5,RTSI,value_change_1d,0.032094649970531464
